Estimator,Accuracy,F1Score,Precision,Sensitivity,FallOut,Specificity,AUC,NegPredVal,FalseNegRate,FalseDiscRate,ScoreTime,FitTime,ERR
ECLF1,0.9442786069651742,0.9483568075117371,0.980072777681511,0.9186292025337015,0.02347897100857493,0.9765210289914251,0.9918464663544294,0.9051854655563967,0.08137079746629852,0.019927222318488997,0.14353333720000022,4.925236095800001,0.05572139303482587
ECLF2,0.9563093622795116,0.9612266195713254,0.9503174603174603,0.9723891505603378,0.0639036341363822,0.9360963658636178,0.9926434624468107,0.964248159831756,0.027610849439662175,0.04968253968253968,0.15031798480000091,5.184297030799999,0.043690637720488465
ECLF3,0.7241067390321122,0.6724656357388317,0.9923930269413629,0.5085268799740134,0.004899959167006942,0.9951000408329931,0.9752856601783747,0.6169620253164557,0.4914731200259867,0.007606973058637084,0.11845395200000049,4.9618294552,0.27589326096788785
ECLF4,0.8102216191768431,0.7951171875,0.997060984570169,0.6611986356992041,0.002449979583503471,0.9975500204164965,0.9942667015861598,0.7008032128514057,0.3388013643007958,0.0029390154298310064,0.051368881800000835,0.7676677321999997,0.18977838082315696
SVM,0.926096788783356,0.9345195159092731,0.9224683544303798,0.9468897190190028,0.1000408329930584,0.8999591670069416,0.9754399196259201,0.9309398099260824,0.05311028098099724,0.07753164556962025,0.08999083299999952,4.622571775,0.07390321121664405
RF,0.9706015377657169,0.9738219895287958,0.9659635666347076,0.981809322722105,0.04348713760718661,0.9565128623928134,0.9943018675672695,0.9766520742130498,0.018190677277895077,0.034036433365292426,0.03524811859999995,0.3984822894000005,0.02939846223428313
GNB,0.6055178652193578,0.45302897278314314,0.9944933920704846,0.29332467110605814,0.002041649652919559,0.9979583503470805,0.9623402351945914,0.5290615867518129,0.7066753288939418,0.005506607929515419,0.0020070140000000513,0.005317251600000095,0.39448213478064226
"ECLF1 with Weights [0.9,1.1,0.65]",0.9563998190863863,0.9602441438469153,0.975532093179152,0.9454279681663148,0.029808084932625562,0.9701919150673745,0.9931233512526749,0.9339622641509434,0.05457203183368524,0.024467906820848,0.1546428048000017,5.8273707417999985,0.04360018091361375
