Estimator,Accuracy,F1Score,Precision,Sensitivity,FallOut,Specificity,AUC,NegPredVal,FalseNegRate,FalseDiscRate,ScoreTime,FitTime,ERR
ECLF1,0.9522,0.9513039934800326,0.9694767441860465,0.9338,0.0294,0.9706,0.99006108,0.9361496913580247,0.0662,0.030523255813953487,0.10549591139999848,33.710009797000005,0.0478
ECLF2,0.9654,0.9653861544617847,0.9657726180944756,0.965,0.0342,0.9658,0.9945672799999999,0.9650279776179057,0.035,0.03422738190552442,0.10015975340000054,34.4537129676,0.0346
ECLF3,0.8487,0.8317954419121735,0.9364205256570713,0.7482,0.0508,0.9492,0.97129782,0.7903413821815154,0.2518,0.06357947434292865,0.07834744079999752,35.4599323644,0.1513
ECLF4,0.8936,0.8873835732430144,0.9424460431654677,0.8384,0.0512,0.9488,0.98383988,0.8544668587896254,0.1616,0.05755395683453238,0.04276528380000002,0.9168820633999996,0.1064
SVM,0.9338,0.9344813935075218,0.924960815047022,0.9442,0.0766,0.9234,0.97818686,0.9430147058823529,0.0558,0.07503918495297805,0.05768788679999801,33.8620169424,0.0662
RF,0.9743,0.9741890127548458,0.9784143635263264,0.97,0.0214,0.9786,0.99633116,0.9702558001189768,0.03,0.02158563647367359,0.029693373200000296,0.5823887209999989,0.0257
GNB,0.8429,0.8253862398577304,0.9289467100325244,0.7426,0.0568,0.9432,0.9316485800000002,0.7856071964017991,0.2574,0.0710532899674756,0.0022891777999999975,0.008109560200000133,0.1571
"ECLF1 with Weights [0.9,1.1,0.65]",0.9623,0.9618382427371192,0.9737651158024185,0.9502,0.0256,0.9744,0.99281924,0.9513766842413591,0.0498,0.026234884197581472,0.11036318699999725,37.597158373400006,0.0377
